Variable Name,Variable Label,Description,Category,Type,Unit,Values/Value Range,Value Labels,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASEAIAN,Report AI/AN COVID-19 cases,If a state reports data on COVID-19 cases for American Indian/Alaska Native people as a distinct race category,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSPAIAN,Report AI/AN COVID-19 hospitalizations,If a state reports data on COVID-19 hospitalizations for American Indian/Alaska Native people as a distinct race category,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEATHAIAN,Report AI/AN COVID-19 deaths,If a state reports data on COVID-19 deaths for American Indian/Alaska Native people as a distinct race category,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VACCINEAIAN,Report AI/AN COVID-19 vaccinations,If a state reports data on COVID-19 vaccinations for American Indian/Alaska Native people as a distinct race category,racial_disparities,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISITPER,Stopped personal visitation in state prisons,The date personal visitation was banned at prisons statewide. Order could be from the governor or from a state agency like the department of corrections,incarceration,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISITATT,Stopped legal visitation in state prisons,The date attorney visitation was banned at prisons statewide. Order could be from the governor or from a state agency like the department of corrections,incarceration,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISITRES,Began to resume visitation in state prisons,The date a state began to allow visitations in state prisons. Did not have to apply statewide.,incarceration,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVISIT2,Stopped visitation in state prisons x2,The date visitation was banned at prisons statewide for the second point in time.,incarceration,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISITRES2,Resumed visitation in state prisons x2,The date a state began to allow visitations in state prisons for the second point in time,incarceration,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOCOPAY,Does not charge copays for incarcerated individuals,"Before the pandemic, whether a state charged incarcerated individuals medical copays statewide. Source: Prison Policy Initiative https://www.prisonpolicy.org/blog/2017/04/19/copays/",incarceration,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: Prison Policy Initiative https://www.prisonpolicy.org/blog/2017/04/19/copays/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOPAYCOV,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,Whether a state waived copays for incarcerated individuals for COVID/respiratory illness related charges statewide. Source: Prison Policy Initiative https://www.prisonpolicy.org/blog/2017/04/19/copays/,incarceration,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: Prison Policy Initiative Survey of each state's Department of Corrections https://www.prisonpolicy.org/virus/virusresponse.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOPAYALL,Waived all copays during pandemic for incarcerated individuals,Whether a state waived all copays during the pandemic for incarcerated individuals statewide. Source: Prison Policy Initiative https://www.prisonpolicy.org/blog/2017/04/19/copays/,incarceration,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: Prison Policy Initiative Survey of each state's Department of Corrections https://www.prisonpolicy.org/virus/virusresponse.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YESCOPAY,Did not waive copays for incarcerated individuals,If a state did not waive copays for incarcerated individuals during the pandemic statewide. Source: Prison Policy Initiative https://www.prisonpolicy.org/blog/2017/04/19/copays/,incarceration,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: Prison Policy Initiative Survey of each state's Department of Corrections https://www.prisonpolicy.org/virus/virusresponse.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECPRCR,Suspended elective medical procedures,The date a state suspended elective medical or dental procedures statewide. Did not include guidance or recommendations. Order must apply to entire state.,healthcare_delivery,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDELECP,Resumed elective medical procedures,"The date a state resumed elective medical or dental procedures statewide. If states never suspended elective medical or dental procedures, they will be marked as 0",healthcare_delivery,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECPRCR2,Suspended elective medical procedures x2,The date a state suspended elective medical or dental procedures statewide for the second time. Did not include guidance or recommendations. Order must apply to entire state.,healthcare_delivery,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDELECP2,Resumed elective medical procedures x2,"The date a state resumed elective medical or dental procedures statewide for a second time. If states never suspended elective medical or dental procedures for a second time, they will be marked as 0",healthcare_delivery,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECNOSTART,No order to suspend elective medical procedures but did release guidance or orders to resume,The date states released guidance or an order to resume elective surgeries but the state never mandated that these procedures halt.,healthcare_delivery,end,date,0: does not apply,,"Some of these states had suggestions to halt elective procedures and later released guidelines to reopen. One, GA, explicitly ordered that medical providers open.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTPRD,No state unemployment waiting period prior to pandemic; or date waiting period waived not found,"Prior to the pandemic, whether a state did not have a mandatory waiting period until they could receive unemployment insurance benefits, OR whether we could not find whether a state did/did not have a mandatory waiting period",unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV_WTPRD,Waived one week waiting period for unemployment insurance,The date a state waived the one week waiting period for unemployment insurance benefits. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,start,date,0: policy not implemented; 1: Could not locate the date the policy started but did locate evidence that the policy was in place.,Date the waiting period waived in Delaware was not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REI_WTPRD,Reinstated one week waiting period for unemployment insurance,If a state reinstated the one week waiting period for unemployment insurance benefits. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV_WKSR,Waive work search requirement for unemployment insurance,If a state waived the work search requirement for unemployment insurance benefits at some point during the pandemic. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REI_WKSR,Reinstated work search requirement for unemployment insurance,If a state reinstated the work search requirement for unemployment benefits at some point during the pandemic. Did not include guidance or recommendations. Order must apply to the entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIQUAR,Expanded eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined,If a state expanded eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined during the pandemic. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIHIRISK,Expanded eligibility to high-risk individuals in preventative quarantine,If a state explicitly defines individuals at high risk of COVID-19 who are undergoing preventive quarantine during the pandemic to be eligible for unemployment insurance. Did not include guidance or recommendations. Order must apply to entire state,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UICLDCR,Expanded eligibility of unemployment insurance to those who have lost childcare/school closures,If a state expanded eligibility of unemployment insurance to those who have lost childcare during the pandemic in response to daycare/school closures. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIEXTND,Extended the amount of time an individual can be on unemployment insurance,If a state extended the amount of time an individual can be on unemployment insurance. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMAXAMT,Weekly unemployment insurance maximum amount (dollars),The weekly unemployment insurance maximum amount a state will provide,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMAXEXT,"Weekly unemployment insurance maximum amount with extra stimulus (through July 21, 2020) (dollars)","The weekly unemployment insurance maximum amount a state will provided with extra stimulus through the CARES Act (through July 21, 2020)",unemployment,quantity,dollars,valid range: 190-823,,Note that the additional $600 is paid retroactively. Payments are effective starting with the week ending 4/5/20. The $600 only applies to those who are receiving unemployment benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMAXDURJAN20,January 2020 unemployment insurance maximum duration (weeks),The maximum amount of time an individual can receive unemployment insurance as of January 2020,unemployment,quantity,weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMAXDURJUL20,July 2020 unemployment insurance maximum duration (weeks),The maximum amount of time an individual can receive unemployment insurance as of July 2020,unemployment,quantity,weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMAXDUR21,2021 unemployment insurance maximum duration (weeks),The maximum amount of time an individual can receive unemployment insurance in 2021,unemployment,quantity,weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBSTART,Extended Benefits program activated,"The date of issue of Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have activated. If a state never activated EB, it will be marked as 0.",unemployment,start,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBEND,Extended Benefits program deactivated,"The date of issue of Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated. If a state never activated EB or activated EB but has yet to deactivate EB, it will be marked as 0.",unemployment,end,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBSTART2,Extended Benefits program activated x2,"The date of issue of Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have activated for a second time. If a state never activated EB for a second time, it will be marked as 0.",unemployment,start,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBEND2,Extended Benefits program deactivated x2,"The date of issue of Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated for a second time. If a state never activated EB for a second time or activated EB for a second time but has yet to deactivate EB for a second time, it will be marked as 0.",unemployment,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Total Unemployment Rate at Extended Benefits program shutoff,The total unemployment rate (TUR) reported by the Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated,unemployment,quantity,total unemployed population / total labor force,"valid range: 3.5, 8.7",,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURPRIOR,Total Unemployment Rate relative to prior year (%),The total unemployment rate (TUR) reported by the Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated as a percent relative to TUR in the prior year,unemployment,quantity,percent,"valid range: 125, 290",,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURPRIOR2,Total Unemployment Rate relative to second prior year (%),The total unemployment rate (TUR) reported by the Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated as a percent relative to TUR in the prior year as a percent relative to TUR two years prior,unemployment,quantity,percent,"valid range: 139, 256",,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20EBSTART,20-week Extended Benefits program activated,"The date of issue of Department of Labor Trigger Notice that first showed the state's 20-week Extended Benefits (EB) program to have activated. If a state never activated 20-week EB, it will be marked as 0.",unemployment,start,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20EBEND,20-week Extended Benefits program deactivated,"The date of issue of Department of Labor Trigger Notice that first showed the state's 20-week Extended Benefits (EB) program to have deactivated. If a state never activated 20-week EB or activated 20-week EB but has yet to deactivate 20-week EB, it will be marked as 0.",unemployment,end,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20EBSTART2,20-week Extended Benefits program activated x2,"The date of issue of Department of Labor Trigger Notice that first showed the state's 20-week Extended Benefits (EB) program to have activated for a second time. If a state never activated 20-week EB for a second time, it will be marked as 0.",unemployment,start,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20EBEND2,20-week Extended Benefits program deactivated x2,"The date of issue of Department of Labor Trigger Notice that first showed the state's 20-week Extended Benefits (EB) program to have deactivated for a second time. If a state never activated 20-week EB for a second time or activated 20-week EB for a second time but has yet to deactivate 20-week EB for a second time, it will be marked as 0.",unemployment,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIEND,Stopped participating in pandemic-related federal unemployment benefit programs,The date a state stopped participating in pandemic-related federal unemployment benefit programs,unemployment,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMINBP,Minimum total earnings required in the base period to qualify for UI.,Minimum total earnings required in the base period to qualify for UI.,unemployment,quantity,dollars,"valid range: 130-7020, *Hours worked, not income",*WA - Requires 680 hours of work. Earnings not specified. Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIQTRNEED,Number of calendar quarters with earnings in the base period needed to qualify for UI.,Number of calendar quarters with earnings in the base period needed to qualify for UI.,unemployment,quantity,Calendar Quarters,"2,1",,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIOUTHQBP,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI.,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI.,unemployment,quantity,dollars,valid range: 0-2340,,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIREQBPL2Q,Require earnings in the last two calendar quarters of the base period in order to qualify for UI.,Require earnings in the last two calendar quarters of the base period in order to qualify for UI.,unemployment,attribute,flag,"1: yes, 0: no",,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIBPEARN300,Earnings in base period required to receive a $300 weekly benefit amount for UI.,Earnings in base period required to receive a $300 weekly benefit amount for UI.,unemployment,quantity,dollars,"valid range: 6900-33191.49, ""Max Benefit < $300"": State does not offer a maximum benefit reaching $300",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UITAXWA,Taxable Wage Amount,Highest taxable wage amount going to funding the state UI program,unemployment,quantity,dollars,valid range: 7000-52700,,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMINTAXR,Minimum Tax Rate (%),Minimum tax rate on earnings going to funding the state UI program,unemployment,quantity,percent,valid range: 0-1.60,,"""Rates apply only to experience rated employers and do not include surtaxes, penalties, surcharges, or applicable non UI taxes."" - Department of Labor. Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIMAXTAXR,Maximum Tax Rate (%),Maximum tax rate on earnings going to funding the state UI program,unemployment,quantity,percent,valid range: 5.40-14.37,,"""Rates apply only to experience rated employers and do not include surtaxes, penalties, surcharges, or applicable non UI taxes."" - Department of Labor Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIAVGBFTAUG,Average Benefit Amount (August),Average UI benefit received by recipients in August,unemployment,quantity,dollars,valid range: 180.86-463.06,,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSHA,OSHA-approved state plan,"If a state has a plan approved by OSHA that covers private and public workplaces, a state plan that just covers state/local government workers, or the state is a federal OSHA state where state/local government workers are not covered by federal OSHA.",workplace,attribute,flag,"1,2,3",1: This state's OSHA-approved State Plan covers private and state/local government workplaces; 2: This state's OSHA-approved State Plan covers state/local government workers only; 3: This state is a federal OSHA state. State and local government workers are not covered by federal OSHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEDEPT,State department in charge of enforcing programs,"Whether the federal government, state OSH, or other departments are in charge of enforcing the workplace standards established",workplace,attribute,flag,"0,1,2",0: Federal government jurisdiction; 1: state OSH covers enforcement; 2: Not exclusively OSH/other departments involved/multiple departments enforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEROSOL,Aerosol transmissable disease standards,If a state has an aerosol transmissable diseases standard,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENTILATION,Air or ventilation standards,If a state has air or ventilation standards,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SICKLEAVE19,Permanent paid sick leave SI program prior to COVID-19,If a state implemented a permanent paid sick leave social insurance program prior to the COVID-19 pandemic,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMLEAVE19,Permanent paid family and medical leave SI program prior to COVID-19,If a state implemented a permanent family and medical leave social insurance program prior to the COVID-19 pandemic,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SICKLEAVE20,Permanent paid sick leave SI program since COVID-19,If a state implemented a permanent paid sick leave social insurance program since the start of the COVID-19 pandemic,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMLEAVE20,Permanent paid family and medical leave SI program since COVID-19,If a state implemented a permanent family and medical leave social insurance program since the start of the COVID-19 pandemic,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVIDLEAVE,Temporary COVID-19-specific paid leave expansions,If a state implemented temporary expansions to paid leave programs for reasons related to COVID-19,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETALIATION,COVID-19 anti-retaliation rules,"If a state implemented anti-retaliation protections for workers during COVID-19 pandemic. If workers reported issues, utilized COVID-expanded paid leave, etc. they could not be punished by employer for doing so. Must be specified in an order/legislation in past year regarding workers being protected from specific or broad range of retaliation",workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIABILITY,COVID-19 business liability protections,If a state implemented COVID-19 business liability protections.,workplace,attribute,flag,"0,1",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLIABILITY,COVID-19 liability protections for healthcare workers,If a state implemented COVID-19 liability protections for healthcare providers/employers,workplace,attribute,flag,"0,1,2",0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVLIABILITY,Branch of government implementing COVID-19 liability rules,The branch of state government that enacted COVID-19 liability protections,workplace,attribute,flag,"0,1,2",0: None; 1: Legislative; 2: Executive Order,"If both a law and Executive Order implemented, default label to a law being passed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKERSCOMP,COVID-19 workers' compensation expansion,If a state expanded workers' compensation to include COVID-19 as an occupational disease/illness and/or COVID-19-positive illness presumed to have occurred at work,workplace,attribute,flag,"0,1,2","0: No; 1: Yes, expansion but rebuttable/proof needed from employee; 2: Yes, presumption of workplace exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKERTYPE,Types of workers eligible for workers' compensation expansion,Whether frontline workers or all workers benefit from the workers' compensation expansion,workplace,attribute,flag,"0,1",0: None; 1: Frontline workers only; 2: All workers (or including food workers too),"If expansion includes more than just frontline health and public workers (i.e. grocery workers, food workers, etc.), then the expansion is coded for all workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKREPORTING,Data reporting required for medical treatment,Data must be reported to state workers' compensation bureaus for medical treatment beyond first aid,workplace,attribute,flag,"0,1",0: No; 1: Yes,"If a number is present, that is minimum number of missed days of work where employer is required to report event. If no number present, then there is no days missed requirement (the state may have a requirement to report any injury/illness event that requires more than first aid).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKMISSED,Minimum number of work days missed by workers to require data reporting,Data must be reported to state workers' compensation bureaus when workers miss this minimum number of days,workplace,quantity,days,valid range: 1-7,0: No; 1: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORKINJURY,"Occupational injuries, illnesses, and fatalities reporting prior to pandemic","If a state reported to BLS the State Occupational Injuries, Illnesses, and Fatalities prior to the COVID-19 pandemic",workplace,attribute,flag,"0,1","0: No, 1: Yes","BLS reports state-level information on occupational injuries/illnesses, but some states do not report this information to them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMABRN,Made Effort to Limit Abortion Access,If a state made an effort through orders or legislation during the pandemic to limit or restrict access to abortion. Order did not need to go into effect to be recorded here.,healthcare_delivery,quantity,weeks,valid range: 25-41,,Under the Pandemic Emergency Unemployment Compensation (PEUC) state-level unemployment insurance will be extended by an additional 13 weeks thanks to federal funding under the CARE stimulus bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLHlBUPR,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,The date a state allowed the use of telemedicine/telephone evaluations to initiate buprenorphine prescribing.,SUD_policies,start,date,0: policy not implemented;,"1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTOPFL,Patients can receive 14-28 take-home doses of opioid medication,The date a state allowed patients to receive 14-28 take-home doses of opioid medication,SUD_policies,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMDLVOP,Home delivery of take-home medication by opioid treatment programs,The date a state allowed home delivery of take-home medication by opioid treatment programs,SUD_policies,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLHLCL24,Use of telemedicine for schedule II-V prescriptions,The date a state allowed telemedicine for schedule II-V prescriptions,SUD_policies,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEMORP,Exceptions to emergency oral prescriptions,The date a state allowed exceptions to emergency oral prescriptions,SUD_policies,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WVDEAREQ,Waive requirement to obtain separate DEA registration to dispense outside home state,The date a state waived the requirement to obtain separate DEA registration to dispense outside of the home state,SUD_policies,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDEXP,Medicaid Expansion,If a state had previously expanded Medicaid. Source: Kaiser Family Foundation,state_characteristics,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: Kaiser Family Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPDEN18,Population density per square miles,The population density of the state in square miles,state_characteristics,quantity,people/square mile,"valid range: 1.11, 11,496.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP18,Population 2018,The total 2018 population. Source: WIQARS,state_characteristics,quantity,people,"valid range: 577,737, 39,557,405",,Source: WIQARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQML,Square Miles,The total size of the state in square miles,state_characteristics,quantity,square mile,"valid range: 61, 665,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMLS19,Number Homeless (2019),The number of homeless individuals in the state in 2019. Source: 2019 AHAR: Part 1 - PIT Estimates of Homelessness in the U.S. https://www.hudexchange.info/homelessness-assistance/ahar/#2019-reports,state_characteristics,quantity,people,"valid range: 558, 151,278",,Source: 2019 AHAR: Part 1 - PIT Estimates of Homelessness in the U.S. https://www.hudexchange.info/homelessness-assistance/ahar/#2019-reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNEMP18,Percent Unemployed (2018).,The percent unemployment in the state in 2018. Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),state_characteristics,quantity,percent,"valid range: 2.8, 7.5",,Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POV18,Percent living under the federal poverty line (2018).,The percent of individuals in the state who were living under the federal poverty line in 2018. Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),state_characteristics,quantity,percent,"valid range: 7.6, 19.7",,Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
