,policy,category,fips,state,statename,year,month,day,adopted,ended
4731,Date adults ages 65+ became eligible for COVID-19 vaccination,,44,RI,Rhode Island,2021,02,22,1.0,False
4732,Date adults ages 65+ became eligible for COVID-19 vaccination,,45,SC,South Carolina,2021,02,08,1.0,False
4733,Date adults ages 65+ became eligible for COVID-19 vaccination,,46,SD,South Dakota,2021,02,22,1.0,False
4734,Date adults ages 65+ became eligible for COVID-19 vaccination,,47,TN,Tennessee,2021,02,22,1.0,False
4735,Date adults ages 65+ became eligible for COVID-19 vaccination,,48,TX,Texas,2020,12,28,1.0,False
4736,Date adults ages 65+ became eligible for COVID-19 vaccination,,49,UT,Utah,2021,02,18,1.0,False
4737,Date adults ages 65+ became eligible for COVID-19 vaccination,,50,VT,Vermont,2021,03,01,1.0,False
4738,Date adults ages 65+ became eligible for COVID-19 vaccination,,51,VA,Virginia,2021,01,11,1.0,False
4739,Date adults ages 65+ became eligible for COVID-19 vaccination,,53,WA,Washington,2021,01,18,1.0,False
4740,Date adults ages 65+ became eligible for COVID-19 vaccination,,54,WV,West Virginia,2020,12,30,1.0,False
4741,Date adults ages 65+ became eligible for COVID-19 vaccination,,55,WI,Wisconsin,2021,01,25,1.0,False
4742,Date adults ages 65+ became eligible for COVID-19 vaccination,,56,WY,Wyoming,2021,02,01,1.0,False
4641,Date adults ages 70+ became eligible for COVID-19 vaccination,,1,AL,Alabama,2021,02,08,1.0,False
4642,Date adults ages 70+ became eligible for COVID-19 vaccination,,2,AK,Alaska,2021,01,11,1.0,False
4643,Date adults ages 70+ became eligible for COVID-19 vaccination,,4,AZ,Arizona,2021,01,19,1.0,False
4644,Date adults ages 70+ became eligible for COVID-19 vaccination,,5,AR,Arkansas,2021,01,18,1.0,False
4645,Date adults ages 70+ became eligible for COVID-19 vaccination,,6,CA,California,2021,01,13,1.0,False
4646,Date adults ages 70+ became eligible for COVID-19 vaccination,,8,CO,Colorado,2020,12,30,1.0,False
4647,Date adults ages 70+ became eligible for COVID-19 vaccination,,9,CT,Connecticut,2021,02,11,1.0,False
4648,Date adults ages 70+ became eligible for COVID-19 vaccination,,10,DE,Delaware,2021,01,19,1.0,False
4649,Date adults ages 70+ became eligible for COVID-19 vaccination,,11,DC,District of Columbia,2021,01,11,1.0,False
4650,Date adults ages 70+ became eligible for COVID-19 vaccination,,12,FL,Florida,2020,12,23,1.0,False
4651,Date adults ages 70+ became eligible for COVID-19 vaccination,,13,GA,Georgia,2021,01,04,1.0,False
4652,Date adults ages 70+ became eligible for COVID-19 vaccination,,15,HI,Hawaii,2021,03,08,1.0,False
4653,Date adults ages 70+ became eligible for COVID-19 vaccination,,16,ID,Idaho,2021,02,01,1.0,False
4654,Date adults ages 70+ became eligible for COVID-19 vaccination,,17,IL,Illinois,2021,01,25,1.0,False
4655,Date adults ages 70+ became eligible for COVID-19 vaccination,,18,IN,Indiana,2021,01,13,1.0,False
4656,Date adults ages 70+ became eligible for COVID-19 vaccination,,19,IA,Iowa,2021,02,01,1.0,False
4657,Date adults ages 70+ became eligible for COVID-19 vaccination,,20,KS,Kansas,2021,01,21,1.0,False
4658,Date adults ages 70+ became eligible for COVID-19 vaccination,,21,KY,Kentucky,2021,02,01,1.0,False
4659,Date adults ages 70+ became eligible for COVID-19 vaccination,,22,LA,Louisiana,2021,01,04,1.0,False
4660,Date adults ages 70+ became eligible for COVID-19 vaccination,,23,ME,Maine,2021,01,18,1.0,False
4661,Date adults ages 70+ became eligible for COVID-19 vaccination,,24,MD,Maryland,2021,01,25,1.0,False
4662,Date adults ages 70+ became eligible for COVID-19 vaccination,,25,MA,Massachusetts,2021,03,22,1.0,False
4663,Date adults ages 70+ became eligible for COVID-19 vaccination,,26,MI,Michigan,2021,01,11,1.0,False
4664,Date adults ages 70+ became eligible for COVID-19 vaccination,,27,MN,Minnesota,2021,01,19,1.0,False
4665,Date adults ages 70+ became eligible for COVID-19 vaccination,,28,MS,Mississippi,2021,01,06,1.0,False
4666,Date adults ages 70+ became eligible for COVID-19 vaccination,,29,MO,Missouri,2021,01,18,1.0,False
4667,Date adults ages 70+ became eligible for COVID-19 vaccination,,30,MT,Montana,2021,01,19,1.0,False
4668,Date adults ages 70+ became eligible for COVID-19 vaccination,,31,NE,Nebraska,2021,01,20,1.0,False
4669,Date adults ages 70+ became eligible for COVID-19 vaccination,,32,NV,Nevada,2021,01,14,1.0,False
4670,Date adults ages 70+ became eligible for COVID-19 vaccination,,33,NH,New Hampshire,2021,01,26,1.0,False
4671,Date adults ages 70+ became eligible for COVID-19 vaccination,,34,NJ,New Jersey,2021,01,14,1.0,False
4672,Date adults ages 70+ became eligible for COVID-19 vaccination,,35,NM,New Mexico,2021,03,19,1.0,False
4673,Date adults ages 70+ became eligible for COVID-19 vaccination,,36,NY,New York,2021,01,11,1.0,False
4674,Date adults ages 70+ became eligible for COVID-19 vaccination,,37,NC,North Carolina,2021,01,11,1.0,False
4675,Date adults ages 70+ became eligible for COVID-19 vaccination,,38,ND,North Dakota,2021,01,12,1.0,False
4676,Date adults ages 70+ became eligible for COVID-19 vaccination,,39,OH,Ohio,2021,01,19,1.0,False
4677,Date adults ages 70+ became eligible for COVID-19 vaccination,,40,OK,Oklahoma,2021,01,04,1.0,False
4678,Date adults ages 70+ became eligible for COVID-19 vaccination,,41,OR,Oregon,2021,02,22,1.0,False
4679,Date adults ages 70+ became eligible for COVID-19 vaccination,,42,PA,Pennsylvania,2021,01,19,1.0,False
4680,Date adults ages 70+ became eligible for COVID-19 vaccination,,44,RI,Rhode Island,2021,02,22,1.0,False
4681,Date adults ages 70+ became eligible for COVID-19 vaccination,,45,SC,South Carolina,2021,02,08,1.0,False
4682,Date adults ages 70+ became eligible for COVID-19 vaccination,,46,SD,South Dakota,2021,02,22,1.0,False
4683,Date adults ages 70+ became eligible for COVID-19 vaccination,,47,TN,Tennessee,2021,02,02,1.0,False
4684,Date adults ages 70+ became eligible for COVID-19 vaccination,,48,TX,Texas,2020,12,28,1.0,False
4685,Date adults ages 70+ became eligible for COVID-19 vaccination,,49,UT,Utah,2021,02,18,1.0,False
4686,Date adults ages 70+ became eligible for COVID-19 vaccination,,50,VT,Vermont,2021,02,16,1.0,False
4687,Date adults ages 70+ became eligible for COVID-19 vaccination,,51,VA,Virginia,2021,01,11,1.0,False
4688,Date adults ages 70+ became eligible for COVID-19 vaccination,,53,WA,Washington,2021,01,18,1.0,False
4689,Date adults ages 70+ became eligible for COVID-19 vaccination,,54,WV,West Virginia,2020,12,30,1.0,False
4690,Date adults ages 70+ became eligible for COVID-19 vaccination,,55,WI,Wisconsin,2021,01,25,1.0,False
4691,Date adults ages 70+ became eligible for COVID-19 vaccination,,56,WY,Wyoming,2021,01,25,1.0,False
4590,Date adults ages 75+ became eligible for COVID-19 vaccination,,1,AL,Alabama,2021,01,18,1.0,False
4591,Date adults ages 75+ became eligible for COVID-19 vaccination,,2,AK,Alaska,2021,01,11,1.0,False
4592,Date adults ages 75+ became eligible for COVID-19 vaccination,,4,AZ,Arizona,2021,01,08,1.0,False
4593,Date adults ages 75+ became eligible for COVID-19 vaccination,,5,AR,Arkansas,2021,01,18,1.0,False
4594,Date adults ages 75+ became eligible for COVID-19 vaccination,,6,CA,California,2021,01,13,1.0,False
4595,Date adults ages 75+ became eligible for COVID-19 vaccination,,8,CO,Colorado,2020,12,30,1.0,False
4596,Date adults ages 75+ became eligible for COVID-19 vaccination,,9,CT,Connecticut,2021,01,18,1.0,False
4597,Date adults ages 75+ became eligible for COVID-19 vaccination,,10,DE,Delaware,2021,01,19,1.0,False
4598,Date adults ages 75+ became eligible for COVID-19 vaccination,,11,DC,District of Columbia,2021,01,11,1.0,False
4599,Date adults ages 75+ became eligible for COVID-19 vaccination,,12,FL,Florida,2020,12,23,1.0,False
4600,Date adults ages 75+ became eligible for COVID-19 vaccination,,13,GA,Georgia,2021,01,04,1.0,False
4601,Date adults ages 75+ became eligible for COVID-19 vaccination,,15,HI,Hawaii,2021,01,05,1.0,False
4602,Date adults ages 75+ became eligible for COVID-19 vaccination,,16,ID,Idaho,2021,02,01,1.0,False
4603,Date adults ages 75+ became eligible for COVID-19 vaccination,,17,IL,Illinois,2021,01,25,1.0,False
4604,Date adults ages 75+ became eligible for COVID-19 vaccination,,18,IN,Indiana,2021,01,13,1.0,False
4605,Date adults ages 75+ became eligible for COVID-19 vaccination,,19,IA,Iowa,2021,02,01,1.0,False
4606,Date adults ages 75+ became eligible for COVID-19 vaccination,,20,KS,Kansas,2021,01,21,1.0,False
4607,Date adults ages 75+ became eligible for COVID-19 vaccination,,21,KY,Kentucky,2021,02,01,1.0,False
4608,Date adults ages 75+ became eligible for COVID-19 vaccination,,22,LA,Louisiana,2021,01,04,1.0,False
4609,Date adults ages 75+ became eligible for COVID-19 vaccination,,23,ME,Maine,2021,01,18,1.0,False
4610,Date adults ages 75+ became eligible for COVID-19 vaccination,,24,MD,Maryland,2021,01,18,1.0,False
4611,Date adults ages 75+ became eligible for COVID-19 vaccination,,25,MA,Massachusetts,2021,02,01,1.0,False
4612,Date adults ages 75+ became eligible for COVID-19 vaccination,,26,MI,Michigan,2021,01,11,1.0,False
4613,Date adults ages 75+ became eligible for COVID-19 vaccination,,27,MN,Minnesota,2021,01,19,1.0,False
4614,Date adults ages 75+ became eligible for COVID-19 vaccination,,28,MS,Mississippi,2021,01,06,1.0,False
4615,Date adults ages 75+ became eligible for COVID-19 vaccination,,29,MO,Missouri,2021,01,18,1.0,False
4616,Date adults ages 75+ became eligible for COVID-19 vaccination,,30,MT,Montana,2021,01,19,1.0,False
4617,Date adults ages 75+ became eligible for COVID-19 vaccination,,31,NE,Nebraska,2021,01,20,1.0,False
4618,Date adults ages 75+ became eligible for COVID-19 vaccination,,32,NV,Nevada,2021,01,14,1.0,False
4619,Date adults ages 75+ became eligible for COVID-19 vaccination,,33,NH,New Hampshire,2021,01,26,1.0,False
4620,Date adults ages 75+ became eligible for COVID-19 vaccination,,34,NJ,New Jersey,2021,01,14,1.0,False
4621,Date adults ages 75+ became eligible for COVID-19 vaccination,,35,NM,New Mexico,2021,01,08,1.0,False
4622,Date adults ages 75+ became eligible for COVID-19 vaccination,,36,NY,New York,2021,01,11,1.0,False
4623,Date adults ages 75+ became eligible for COVID-19 vaccination,,37,NC,North Carolina,2021,01,11,1.0,False
4624,Date adults ages 75+ became eligible for COVID-19 vaccination,,38,ND,North Dakota,2021,01,12,1.0,False
4625,Date adults ages 75+ became eligible for COVID-19 vaccination,,39,OH,Ohio,2021,01,19,1.0,False
4626,Date adults ages 75+ became eligible for COVID-19 vaccination,,40,OK,Oklahoma,2021,01,04,1.0,False
4627,Date adults ages 75+ became eligible for COVID-19 vaccination,,41,OR,Oregon,2021,02,15,1.0,False
4628,Date adults ages 75+ became eligible for COVID-19 vaccination,,42,PA,Pennsylvania,2021,01,19,1.0,False
4629,Date adults ages 75+ became eligible for COVID-19 vaccination,,44,RI,Rhode Island,2021,01,28,1.0,False
4630,Date adults ages 75+ became eligible for COVID-19 vaccination,,45,SC,South Carolina,2021,01,13,1.0,False
4631,Date adults ages 75+ became eligible for COVID-19 vaccination,,46,SD,South Dakota,2021,01,18,1.0,False
4632,Date adults ages 75+ became eligible for COVID-19 vaccination,,47,TN,Tennessee,2021,01,01,1.0,False
4633,Date adults ages 75+ became eligible for COVID-19 vaccination,,48,TX,Texas,2020,12,28,1.0,False
4634,Date adults ages 75+ became eligible for COVID-19 vaccination,,49,UT,Utah,2021,01,18,1.0,False
4635,Date adults ages 75+ became eligible for COVID-19 vaccination,,50,VT,Vermont,2021,01,25,1.0,False
4636,Date adults ages 75+ became eligible for COVID-19 vaccination,,51,VA,Virginia,2021,01,11,1.0,False
4637,Date adults ages 75+ became eligible for COVID-19 vaccination,,53,WA,Washington,2021,01,18,1.0,False
4638,Date adults ages 75+ became eligible for COVID-19 vaccination,,54,WV,West Virginia,2020,12,30,1.0,False
4639,Date adults ages 75+ became eligible for COVID-19 vaccination,,55,WI,Wisconsin,2021,01,25,1.0,False
4640,Date adults ages 75+ became eligible for COVID-19 vaccination,,56,WY,Wyoming,2021,01,25,1.0,False
4539,Date adults ages 80+ became eligible for COVID-19 vaccination,,1,AL,Alabama,2021,01,18,1.0,False
4540,Date adults ages 80+ became eligible for COVID-19 vaccination,,2,AK,Alaska,2021,01,11,1.0,False
4541,Date adults ages 80+ became eligible for COVID-19 vaccination,,4,AZ,Arizona,2021,01,08,1.0,False
4542,Date adults ages 80+ became eligible for COVID-19 vaccination,,5,AR,Arkansas,2021,01,18,1.0,False
4543,Date adults ages 80+ became eligible for COVID-19 vaccination,,6,CA,California,2021,01,13,1.0,False
4544,Date adults ages 80+ became eligible for COVID-19 vaccination,,8,CO,Colorado,2020,12,30,1.0,False
4545,Date adults ages 80+ became eligible for COVID-19 vaccination,,9,CT,Connecticut,2021,01,18,1.0,False
4546,Date adults ages 80+ became eligible for COVID-19 vaccination,,10,DE,Delaware,2021,01,19,1.0,False
4547,Date adults ages 80+ became eligible for COVID-19 vaccination,,11,DC,District of Columbia,2021,01,11,1.0,False
4548,Date adults ages 80+ became eligible for COVID-19 vaccination,,12,FL,Florida,2020,12,23,1.0,False
4549,Date adults ages 80+ became eligible for COVID-19 vaccination,,13,GA,Georgia,2021,01,04,1.0,False
4550,Date adults ages 80+ became eligible for COVID-19 vaccination,,15,HI,Hawaii,2021,01,05,1.0,False
4551,Date adults ages 80+ became eligible for COVID-19 vaccination,,16,ID,Idaho,2021,02,01,1.0,False
4552,Date adults ages 80+ became eligible for COVID-19 vaccination,,17,IL,Illinois,2021,01,25,1.0,False
4553,Date adults ages 80+ became eligible for COVID-19 vaccination,,18,IN,Indiana,2021,01,08,1.0,False
4554,Date adults ages 80+ became eligible for COVID-19 vaccination,,19,IA,Iowa,2021,02,01,1.0,False
4555,Date adults ages 80+ became eligible for COVID-19 vaccination,,20,KS,Kansas,2021,01,21,1.0,False
4556,Date adults ages 80+ became eligible for COVID-19 vaccination,,21,KY,Kentucky,2021,02,01,1.0,False
4557,Date adults ages 80+ became eligible for COVID-19 vaccination,,22,LA,Louisiana,2021,01,04,1.0,False
4558,Date adults ages 80+ became eligible for COVID-19 vaccination,,23,ME,Maine,2021,01,18,1.0,False
4559,Date adults ages 80+ became eligible for COVID-19 vaccination,,24,MD,Maryland,2021,01,18,1.0,False
4560,Date adults ages 80+ became eligible for COVID-19 vaccination,,25,MA,Massachusetts,2021,02,01,1.0,False
4561,Date adults ages 80+ became eligible for COVID-19 vaccination,,26,MI,Michigan,2021,01,11,1.0,False
4562,Date adults ages 80+ became eligible for COVID-19 vaccination,,27,MN,Minnesota,2021,01,19,1.0,False
4563,Date adults ages 80+ became eligible for COVID-19 vaccination,,28,MS,Mississippi,2021,01,06,1.0,False
4564,Date adults ages 80+ became eligible for COVID-19 vaccination,,29,MO,Missouri,2021,01,18,1.0,False
4565,Date adults ages 80+ became eligible for COVID-19 vaccination,,30,MT,Montana,2021,01,19,1.0,False
4566,Date adults ages 80+ became eligible for COVID-19 vaccination,,31,NE,Nebraska,2021,01,20,1.0,False
4567,Date adults ages 80+ became eligible for COVID-19 vaccination,,32,NV,Nevada,2021,01,14,1.0,False
4568,Date adults ages 80+ became eligible for COVID-19 vaccination,,33,NH,New Hampshire,2021,01,26,1.0,False
4569,Date adults ages 80+ became eligible for COVID-19 vaccination,,34,NJ,New Jersey,2021,01,14,1.0,False
4570,Date adults ages 80+ became eligible for COVID-19 vaccination,,35,NM,New Mexico,2021,01,08,1.0,False
4571,Date adults ages 80+ became eligible for COVID-19 vaccination,,36,NY,New York,2021,01,11,1.0,False
4572,Date adults ages 80+ became eligible for COVID-19 vaccination,,37,NC,North Carolina,2021,01,11,1.0,False
4573,Date adults ages 80+ became eligible for COVID-19 vaccination,,38,ND,North Dakota,2021,01,12,1.0,False
4574,Date adults ages 80+ became eligible for COVID-19 vaccination,,39,OH,Ohio,2021,01,19,1.0,False
4575,Date adults ages 80+ became eligible for COVID-19 vaccination,,40,OK,Oklahoma,2021,01,04,1.0,False
4576,Date adults ages 80+ became eligible for COVID-19 vaccination,,41,OR,Oregon,2021,02,07,1.0,False
4577,Date adults ages 80+ became eligible for COVID-19 vaccination,,42,PA,Pennsylvania,2021,01,19,1.0,False
4578,Date adults ages 80+ became eligible for COVID-19 vaccination,,44,RI,Rhode Island,2021,01,28,1.0,False
4579,Date adults ages 80+ became eligible for COVID-19 vaccination,,45,SC,South Carolina,2021,01,13,1.0,False
4580,Date adults ages 80+ became eligible for COVID-19 vaccination,,46,SD,South Dakota,2021,01,18,1.0,False
4581,Date adults ages 80+ became eligible for COVID-19 vaccination,,47,TN,Tennessee,2021,01,01,1.0,False
4582,Date adults ages 80+ became eligible for COVID-19 vaccination,,48,TX,Texas,2020,12,28,1.0,False
4583,Date adults ages 80+ became eligible for COVID-19 vaccination,,49,UT,Utah,2021,01,18,1.0,False
4584,Date adults ages 80+ became eligible for COVID-19 vaccination,,50,VT,Vermont,2021,01,25,1.0,False
4585,Date adults ages 80+ became eligible for COVID-19 vaccination,,51,VA,Virginia,2021,01,11,1.0,False
4586,Date adults ages 80+ became eligible for COVID-19 vaccination,,53,WA,Washington,2021,01,18,1.0,False
4587,Date adults ages 80+ became eligible for COVID-19 vaccination,,54,WV,West Virginia,2020,12,30,1.0,False
4588,Date adults ages 80+ became eligible for COVID-19 vaccination,,55,WI,Wisconsin,2021,01,25,1.0,False
4589,Date adults ages 80+ became eligible for COVID-19 vaccination,,56,WY,Wyoming,2021,01,25,1.0,False
306,Date banned visitors to nursing homes,closure,1,AL,Alabama,2020,03,19,1.0,False
307,Date banned visitors to nursing homes,closure,2,AK,Alaska,,,,1.0,False
308,Date banned visitors to nursing homes,closure,4,AZ,Arizona,,,,1.0,False
309,Date banned visitors to nursing homes,closure,5,AR,Arkansas,2020,03,13,1.0,False
310,Date banned visitors to nursing homes,closure,6,CA,California,,,,1.0,False
311,Date banned visitors to nursing homes,closure,8,CO,Colorado,2020,03,12,1.0,False
312,Date banned visitors to nursing homes,closure,9,CT,Connecticut,2020,03,09,1.0,False
313,Date banned visitors to nursing homes,closure,10,DE,Delaware,,,,1.0,False
314,Date banned visitors to nursing homes,closure,11,DC,District of Columbia,,,,1.0,False
315,Date banned visitors to nursing homes,closure,12,FL,Florida,2020,03,15,1.0,False
316,Date banned visitors to nursing homes,closure,13,GA,Georgia,2020,04,03,1.0,False
317,Date banned visitors to nursing homes,closure,15,HI,Hawaii,2020,03,17,1.0,False
318,Date banned visitors to nursing homes,closure,16,ID,Idaho,,,,1.0,False
319,Date banned visitors to nursing homes,closure,17,IL,Illinois,,,,1.0,False
320,Date banned visitors to nursing homes,closure,18,IN,Indiana,,,,1.0,False
321,Date banned visitors to nursing homes,closure,19,IA,Iowa,,,,1.0,False
322,Date banned visitors to nursing homes,closure,20,KS,Kansas,,,,1.0,False
323,Date banned visitors to nursing homes,closure,21,KY,Kentucky,,,,1.0,False
324,Date banned visitors to nursing homes,closure,22,LA,Louisiana,2020,03,12,1.0,False
325,Date banned visitors to nursing homes,closure,23,ME,Maine,,,,1.0,False
326,Date banned visitors to nursing homes,closure,24,MD,Maryland,2020,04,05,1.0,False
327,Date banned visitors to nursing homes,closure,25,MA,Massachusetts,2020,03,16,1.0,False
328,Date banned visitors to nursing homes,closure,26,MI,Michigan,2020,03,14,1.0,False
329,Date banned visitors to nursing homes,closure,27,MN,Minnesota,,,,1.0,False
330,Date banned visitors to nursing homes,closure,28,MS,Mississippi,2020,03,24,1.0,False
331,Date banned visitors to nursing homes,closure,29,MO,Missouri,2020,03,23,1.0,False
332,Date banned visitors to nursing homes,closure,30,MT,Montana,2020,03,15,1.0,False
333,Date banned visitors to nursing homes,closure,31,NE,Nebraska,,,,1.0,False
334,Date banned visitors to nursing homes,closure,32,NV,Nevada,,,,1.0,False
335,Date banned visitors to nursing homes,closure,33,NH,New Hampshire,2020,03,16,1.0,False
336,Date banned visitors to nursing homes,closure,34,NJ,New Jersey,2020,06,19,1.0,False
337,Date banned visitors to nursing homes,closure,35,NM,New Mexico,2020,03,13,1.0,False
338,Date banned visitors to nursing homes,closure,36,NY,New York,2020,03,13,1.0,False
339,Date banned visitors to nursing homes,closure,37,NC,North Carolina,2020,03,25,1.0,False
340,Date banned visitors to nursing homes,closure,38,ND,North Dakota,2020,04,06,1.0,False
341,Date banned visitors to nursing homes,closure,39,OH,Ohio,2020,03,11,1.0,False
342,Date banned visitors to nursing homes,closure,40,OK,Oklahoma,2020,03,24,1.0,False
343,Date banned visitors to nursing homes,closure,41,OR,Oregon,2020,03,16,1.0,False
344,Date banned visitors to nursing homes,closure,42,PA,Pennsylvania,2020,03,17,1.0,False
345,Date banned visitors to nursing homes,closure,44,RI,Rhode Island,2020,03,13,1.0,False
346,Date banned visitors to nursing homes,closure,45,SC,South Carolina,2020,03,15,1.0,False
347,Date banned visitors to nursing homes,closure,46,SD,South Dakota,,,,1.0,False
348,Date banned visitors to nursing homes,closure,47,TN,Tennessee,2020,03,23,1.0,False
349,Date banned visitors to nursing homes,closure,48,TX,Texas,2020,03,21,1.0,False
350,Date banned visitors to nursing homes,closure,49,UT,Utah,,,,1.0,False
351,Date banned visitors to nursing homes,closure,50,VT,Vermont,2020,03,13,1.0,False
352,Date banned visitors to nursing homes,closure,51,VA,Virginia,,,,1.0,False
353,Date banned visitors to nursing homes,closure,53,WA,Washington,2020,03,16,1.0,False
354,Date banned visitors to nursing homes,closure,54,WV,West Virginia,2020,08,13,1.0,False
355,Date banned visitors to nursing homes,closure,55,WI,Wisconsin,,,,1.0,False
356,Date banned visitors to nursing homes,closure,56,WY,Wyoming,,,,1.0,False
153,Date closed K-12 public schools,closure,1,AL,Alabama,2020,03,20,1.0,False
154,Date closed K-12 public schools,closure,2,AK,Alaska,2020,03,16,1.0,False
155,Date closed K-12 public schools,closure,4,AZ,Arizona,2020,03,16,1.0,False
156,Date closed K-12 public schools,closure,5,AR,Arkansas,2020,03,17,1.0,False
157,Date closed K-12 public schools,closure,6,CA,California,2020,03,23,1.0,False
158,Date closed K-12 public schools,closure,8,CO,Colorado,2020,03,23,1.0,False
159,Date closed K-12 public schools,closure,9,CT,Connecticut,2020,03,17,1.0,False
160,Date closed K-12 public schools,closure,10,DE,Delaware,2020,03,16,1.0,False
161,Date closed K-12 public schools,closure,11,DC,District of Columbia,2020,03,16,1.0,False
162,Date closed K-12 public schools,closure,12,FL,Florida,2020,03,17,1.0,False
163,Date closed K-12 public schools,closure,13,GA,Georgia,2020,03,18,1.0,False
164,Date closed K-12 public schools,closure,15,HI,Hawaii,2020,03,16,1.0,False
165,Date closed K-12 public schools,closure,16,ID,Idaho,2020,03,24,1.0,False
166,Date closed K-12 public schools,closure,17,IL,Illinois,2020,03,17,1.0,False
167,Date closed K-12 public schools,closure,18,IN,Indiana,2020,03,20,1.0,False
168,Date closed K-12 public schools,closure,19,IA,Iowa,2020,04,02,1.0,False
169,Date closed K-12 public schools,closure,20,KS,Kansas,2020,03,18,1.0,False
170,Date closed K-12 public schools,closure,21,KY,Kentucky,2020,03,17,1.0,False
171,Date closed K-12 public schools,closure,22,LA,Louisiana,2020,03,16,1.0,False
172,Date closed K-12 public schools,closure,23,ME,Maine,2020,04,02,1.0,False
173,Date closed K-12 public schools,closure,24,MD,Maryland,2020,03,16,1.0,False
174,Date closed K-12 public schools,closure,25,MA,Massachusetts,2020,03,17,1.0,False
175,Date closed K-12 public schools,closure,26,MI,Michigan,2020,03,16,1.0,False
176,Date closed K-12 public schools,closure,27,MN,Minnesota,2020,03,18,1.0,False
177,Date closed K-12 public schools,closure,28,MS,Mississippi,2020,03,20,1.0,False
178,Date closed K-12 public schools,closure,29,MO,Missouri,2020,03,23,1.0,False
179,Date closed K-12 public schools,closure,30,MT,Montana,2020,03,16,1.0,False
180,Date closed K-12 public schools,closure,31,NE,Nebraska,2020,04,03,1.0,False
181,Date closed K-12 public schools,closure,32,NV,Nevada,2020,03,16,1.0,False
182,Date closed K-12 public schools,closure,33,NH,New Hampshire,2020,03,16,1.0,False
183,Date closed K-12 public schools,closure,34,NJ,New Jersey,2020,03,18,1.0,False
184,Date closed K-12 public schools,closure,35,NM,New Mexico,2020,03,16,1.0,False
185,Date closed K-12 public schools,closure,36,NY,New York,2020,03,18,1.0,False
186,Date closed K-12 public schools,closure,37,NC,North Carolina,2020,03,16,1.0,False
187,Date closed K-12 public schools,closure,38,ND,North Dakota,2020,03,16,1.0,False
188,Date closed K-12 public schools,closure,39,OH,Ohio,2020,03,17,1.0,False
189,Date closed K-12 public schools,closure,40,OK,Oklahoma,2020,03,17,1.0,False
190,Date closed K-12 public schools,closure,41,OR,Oregon,2020,03,16,1.0,False
191,Date closed K-12 public schools,closure,42,PA,Pennsylvania,2020,03,16,1.0,False
192,Date closed K-12 public schools,closure,44,RI,Rhode Island,,,,1.0,False
193,Date closed K-12 public schools,closure,45,SC,South Carolina,2020,03,16,1.0,False
194,Date closed K-12 public schools,closure,46,SD,South Dakota,2020,03,16,1.0,False
195,Date closed K-12 public schools,closure,47,TN,Tennessee,2020,03,20,1.0,False
196,Date closed K-12 public schools,closure,48,TX,Texas,2020,03,21,1.0,False
197,Date closed K-12 public schools,closure,49,UT,Utah,2020,03,16,1.0,False
198,Date closed K-12 public schools,closure,50,VT,Vermont,2020,03,18,1.0,False
199,Date closed K-12 public schools,closure,51,VA,Virginia,2020,03,16,1.0,False
200,Date closed K-12 public schools,closure,53,WA,Washington,2020,03,17,1.0,False
201,Date closed K-12 public schools,closure,54,WV,West Virginia,2020,03,16,1.0,False
202,Date closed K-12 public schools,closure,55,WI,Wisconsin,2020,03,18,1.0,False
203,Date closed K-12 public schools,closure,56,WY,Wyoming,2020,03,19,1.0,False
5202,Date general public became eligible for COVID-19 vaccination,,1,AL,Alabama,2021,04,05,1.0,False
5203,Date general public became eligible for COVID-19 vaccination,,2,AK,Alaska,2021,03,09,1.0,False
5204,Date general public became eligible for COVID-19 vaccination,,4,AZ,Arizona,2021,03,24,1.0,False
5205,Date general public became eligible for COVID-19 vaccination,,5,AR,Arkansas,2021,03,30,1.0,False
5206,Date general public became eligible for COVID-19 vaccination,,6,CA,California,2021,04,15,1.0,False
5207,Date general public became eligible for COVID-19 vaccination,,8,CO,Colorado,2021,04,02,1.0,False
5208,Date general public became eligible for COVID-19 vaccination,,9,CT,Connecticut,2021,04,02,1.0,False
5209,Date general public became eligible for COVID-19 vaccination,,10,DE,Delaware,2021,04,06,1.0,False
5210,Date general public became eligible for COVID-19 vaccination,,11,DC,District of Columbia,2021,04,19,1.0,False
5211,Date general public became eligible for COVID-19 vaccination,,12,FL,Florida,2021,04,05,1.0,False
5212,Date general public became eligible for COVID-19 vaccination,,13,GA,Georgia,2021,03,25,1.0,False
5213,Date general public became eligible for COVID-19 vaccination,,15,HI,Hawaii,2021,04,19,1.0,False
5214,Date general public became eligible for COVID-19 vaccination,,16,ID,Idaho,2021,04,05,1.0,False
5215,Date general public became eligible for COVID-19 vaccination,,17,IL,Illinois,2021,04,12,1.0,False
5216,Date general public became eligible for COVID-19 vaccination,,18,IN,Indiana,2021,03,31,1.0,False
5217,Date general public became eligible for COVID-19 vaccination,,19,IA,Iowa,2021,04,05,1.0,False
5218,Date general public became eligible for COVID-19 vaccination,,20,KS,Kansas,2021,03,29,1.0,False
5219,Date general public became eligible for COVID-19 vaccination,,21,KY,Kentucky,2021,04,05,1.0,False
5220,Date general public became eligible for COVID-19 vaccination,,22,LA,Louisiana,2021,03,29,1.0,False
5221,Date general public became eligible for COVID-19 vaccination,,23,ME,Maine,2021,04,07,1.0,False
5222,Date general public became eligible for COVID-19 vaccination,,24,MD,Maryland,2021,04,06,1.0,False
